season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Crystal Palace,Crystal Palace,47c64c55,11,19,7,5,7,29,27,+2,26,1.37,19,4,6,9,16,28,-12,18,0.95,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Bournemouth,Bournemouth,4ba7cbea,12,19,7,5,7,26,30,-4,26,1.37,19,4,6,9,19,31,-12,18,0.95,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,West Ham,West Ham,7c21e445,13,19,7,6,6,24,26,-2,27,1.42,19,3,6,10,24,42,-18,15,0.79,https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Watford,Watford,2abfe087,14,19,7,6,6,27,31,-4,27,1.42,19,4,2,13,17,33,-16,14,0.74,https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Brighton,Brighton,d07537b9,15,19,7,8,4,24,25,-1,29,1.53,19,2,5,12,10,29,-19,11,0.58,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Huddersfield,Huddersfield,f5922ca5,16,19,6,5,8,16,25,-9,23,1.21,19,3,5,11,12,33,-21,14,0.74,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Southampton,Southampton,33c895d4,17,19,4,7,8,20,26,-6,19,1.00,19,3,8,8,17,30,-13,17,0.89,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Swansea City,Swansea,fb10988f,18,19,6,3,10,17,24,-7,21,1.11,19,2,6,11,11,32,-21,12,0.63,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Stoke City,Stoke,17892952,19,19,5,5,9,20,30,-10,20,1.05,19,2,7,10,15,38,-23,13,0.68,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats
2017-2018,Premier League,results,results_home_away,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,West Brom,West Brom,60c6b05f,20,19,3,9,7,21,29,-8,18,0.95,19,3,4,12,10,27,-17,13,0.68,https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
